heal,nonheal
141,150
141,150
141,150
139,147
139,147
139,147
143,150
143,150
143,150
144,149
144,149
144,149
138,145
138,145
138,145
141,149
141,149
141,149
143,150
143,150
143,150
139,151
139,151
139,151
141,148
141,148
141,148
140,146
140,146
140,146
142,150
142,150
142,150
141,150
141,150
141,150
142,148
142,148
142,148
139,150
139,150
139,150
141,152
141,152
141,152
140,151
140,151
140,151
142,147
142,147
142,147
138,149
138,149
138,149
140,148
140,148
140,148
141,148
141,148
141,148
141,152
141,152
141,152
145,148
145,148
145,148
142,148
142,148
142,148
137,152
137,152
137,152
139,151
139,151
139,151
147,151
147,151
147,151
141,145
141,145
141,145
141,154
141,154
141,154
139,147
139,147
139,147
140,149
140,149
140,149
138,148
138,148
138,148
139,148
139,148
139,148
139,149
139,149
139,149
139,150
139,150
139,150
139,151
139,151
139,151
141,154
141,154
141,154
143,149
143,149
143,149
138,148
138,148
138,148
141,152
141,152
141,152
145,148
145,148
145,148
139,150
139,150
139,150
141,151
141,151
141,151
142,149
142,149
142,149
149,152
149,152
149,152
139,149
139,149
139,149
146,148
146,148
146,148
140,152
140,152
140,152
139,149
139,149
139,149
140,150
140,150
140,150
141,149
141,149
141,149
142,150
142,150
142,150
138,148
138,148
138,148
139,147
139,147
139,147
141,150
141,150
141,150
140,148
140,148
140,148
137,147
137,147
137,147
142,149
142,149
142,149
140,149
140,149
140,149
139,148
139,148
139,148
140,149
140,149
140,149
144,150
144,150
144,150
143,149
143,149
143,149
140,149
140,149
140,149
142,151
142,151
142,151
146,150
146,150
146,150
138,152
138,152
138,152
144,148
144,148
144,148
137,152
137,152
137,152
140,150
140,150
140,150
140,149
140,149
140,149
140,155
140,155
140,155
145,149
145,149
145,149
143,147
143,147
143,147
138,151
138,151
138,151
139,151
139,151
139,151
142,147
142,147
142,147
136,146
136,146
136,146
145,149
145,149
145,149
135,149
135,149
135,149
140,147
140,147
140,147
144,149
144,149
144,149
146,148
146,148
146,148
139,150
139,150
139,150
139,149
139,149
139,149
141,149
141,149
141,149
139,152
139,152
139,152
145,150
145,150
145,150
138,147
138,147
138,147
140,149
140,149
140,149
140,152
140,152
140,152
141,151
141,151
141,151
135,149
135,149
135,149
139,150
139,150
139,150
140,155
140,155
140,155
140,149
140,149
140,149
142,148
142,148
142,148
140,148
140,148
140,148
138,145
138,145
138,145
141,150
141,150
141,150
140,149
140,149
140,149
138,151
138,151
138,151
140,148
140,148
140,148
145,147
145,147
145,147
136,150
136,150
136,150
139,149
139,149
139,149
138,149
138,149
138,149
140,155
140,155
140,155
140,152
140,152
140,152
141,147
141,147
141,147
142,148
142,148
142,148
137,149
137,149
137,149
139,151
139,151
139,151
139,148
139,148
139,148
139,149
139,149
139,149
138,150
138,150
138,150
139,151
139,151
139,151
141,148
141,148
141,148
140,147
140,147
140,147
138,149
138,149
138,149
140,150
140,150
140,150
139,149
139,149
139,149
144,150
144,150
144,150
140,152
140,152
140,152
140,149
140,149
140,149
139,150
139,150
139,150
142,149
142,149
142,149
142,148
142,148
142,148
139,149
139,149
139,149
139,147
139,147
139,147
139,151
139,151
139,151
140,150
140,150
140,150
139,148
139,148
139,148
145,152
145,152
145,152
139,151
139,151
139,151
139,150
139,150
139,150
140,147
140,147
140,147
139,150
139,150
139,150
138,148
138,148
138,148
140,151
140,151
140,151
139,150
139,150
139,150
145,149
145,149
145,149
138,147
138,147
138,147
143,149
143,149
143,149
141,147
141,147
141,147
141,149
141,149
141,149
138,148
138,148
138,148
139,149
139,149
139,149
140,152
140,152
140,152
141,148
141,148
141,148
143,151
143,151
143,151
138,153
138,153
138,153
141,150
141,150
141,150
140,149
140,149
140,149
142,148
142,148
142,148
140,148
140,148
140,148
140,150
140,150
140,150
141,146
141,146
141,146
138,150
138,150
138,150
140,149
140,149
140,149
140,149
140,149
140,149
139,147
139,147
139,147
140,150
140,150
140,150
142,145
142,145
142,145
138,147
138,147
138,147
147,149
147,149
147,149
140,149
140,149
140,149
147,148
147,148
147,148
142,150
142,150
142,150
137,150
137,150
137,150
137,150
137,150
137,150
144,148
144,148
144,148
144,152
144,152
144,152
139,150
139,150
139,150
141,152
141,152
141,152
144,152
144,152
144,152
141,147
141,147
141,147
139,148
139,148
139,148
140,151
140,151
140,151
141,149
141,149
141,149
139,147
139,147
139,147
143,149
143,149
143,149
139,151
139,151
139,151
137,152
137,152
137,152
138,149
138,149
138,149
139,148
139,148
139,148
139,150
139,150
139,150
141,150
141,150
141,150
138,148
138,148
138,148
142,152
142,152
142,152
138,151
138,151
138,151
142,149
142,149
142,149
140,149
140,149
140,149
138,152
138,152
138,152
141,147
141,147
141,147
138,150
138,150
138,150
142,151
142,151
142,151
147,147
147,147
147,147
142,150
142,150
142,150
139,148
139,148
139,148
142,148
142,148
142,148
